name,height,formats,generation_x,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp_y,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation_y,is_legendary,moveset,vgc_usage_percent,vgc_usage_year,type1_analysis,type2_analysis,ability1,ability2,hidden_ability
weezing,1.2,NU,RB,2,2,0,5,0,0,1,3,1,0,0,0,0,1,2,0,0,0,0,2,7,5,2,1,1,0,3,2,1,1,12,12,10,10,10,7,5,8,7,7,7,6,4,4,3,1,1,3,0,1,1,1,1,1,1,100.0,95.45454545,0,PU,1,['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,5120,70,490,60,Poison Gas Pokémon,120,1000000,1.2,65,Matadogasマタドガス,50.0,110,85,70,60,poison,,9.5,1,0,"Flamethrower, Pain Split, Sludge Bomb, Taunt, Toxic Spikes, Will-O-Wisp",1.31,Worlds_VGC_Usage_2023,poison,No_type,levitate,neutralizing-gas,stench
rhydon,1.9,PU,RB,1,4,2,4,1,1,2,2,2,0,0,0,0,0,4,0,0,0,0,2,44,32,21,15,9,2,14,14,13,4,15,12,12,11,10,7,5,9,9,9,9,8,6,6,3,1,1,2,0,1,1,1,0,0,0,70.0,70.0,0,ZU,0,"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,130,5120,70,485,60,Drill Pokémon,120,1250000,1.9,105,Sidonサイドン,50.0,112,45,45,40,ground,rock,120.0,1,0,"Earthquake, Heat Crash, Megahorn, Stealth Rock, Stone Edge, Swords Dance",0.07,Worlds_VGC_Usage_2024,ground,rock,lightning-rod,rock-head,reckless
chansey,1.1,UU,RB,4,1,0,0,0,1,1,3,2,0,0,3,1,0,3,0,2,1,0,2,21,13,9,5,1,1,9,9,9,2,15,14,13,12,9,7,6,9,8,8,8,7,5,4,2,1,1,3,0,1,1,1,1,1,1,100.0,60.0,0,UU,4,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,10240,140,450,30,Egg Pokémon,5,800000,1.1,250,Luckyラッキー,0.0,113,35,105,50,normal,,34.6,1,0,"Seismic Toss, Soft-Boiled, Stealth Rock, Teleport, Thunder Wave, Toxic",0.20912,Smogon_VGC_Usage_2022,normal,No_type,natural-cure,serene-grace,healer
tangela,1.0,PU,RB,1,5,0,4,0,0,1,-1,0,0,0,0,0,2,4,0,2,2,0,5,8,6,3,2,1,1,4,4,2,2,6,5,4,4,3,2,2,7,6,6,5,3,2,2,2,1,1,4,0,1,1,1,1,1,1,100.0,63.63636364,0,ZU,0,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,5120,70,435,45,Vine Pokémon,115,1000000,1.0,65,Monjaraモンジャラ,50.0,114,100,40,60,grass,,35.0,1,0,"Giga Drain, Growth, Knock Off, Leaf Storm, Leech Seed, Sleep Powder, Sludge Bomb, Solar Beam, Stun Spore, Synthesis, Toxic",0.00165,Smogon_VGC_Usage_2022,grass,No_type,chlorophyll,leaf-guard,regenerator
kangaskhan,2.2,PU,RB,1,1,0,0,0,1,1,3,0,0,0,1,0,0,2,2,2,0,0,2,30,20,11,7,3,1,14,14,11,3,12,11,10,9,9,7,5,8,7,7,7,7,6,6,3,1,1,2,0,1,1,1,1,1,1,100.0,26.31578947,0,ZU,0,"['Early Bird', 'Scrappy', 'Inner Focus']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,5120,70,590,45,Parent Pokémon,100,1000000,2.2,105,Garuraガルーラ,0.0,115,60,100,100,normal,,80.0,1,0,"Body Slam, Double-Edge, Earthquake, Fake Out, Fire Punch, Protect, Seismic Toss, Sucker Punch, Toxic, Wish",0.06004,Smogon_VGC_Usage_2022,normal,No_type,early-bird,scrappy,inner-focus
seaking,1.3,PU,RB,1,2,0,4,0,0,1,2,0,0,0,0,3,2,4,1,0,0,0,5,10,10,5,5,3,0,9,8,7,2,9,7,5,4,4,3,3,5,5,5,5,3,3,3,1,1,1,2,0,1,1,1,0,0,0,70.0,70.0,0,ZU,0,"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,92,5120,70,450,60,Goldfish Pokémon,65,1000000,1.3,80,Azumaoアズマオウ,50.0,119,65,80,68,water,,39.0,1,0,"Flip Turn, Knock Off, Megahorn, Waterfall",0.06,Worlds_VGC_Usage_2022,water,No_type,swift-swim,water-veil,lightning-rod
starmie,1.1,UU,RB,4,5,0,6,0,0,2,1,0,1,0,0,3,0,3,0,0,1,0,2,6,6,3,1,1,0,5,4,2,1,17,16,14,13,10,7,7,9,9,8,8,8,5,4,2,1,1,3,0,1,1,1,1,1,1,100.0,66.66666667,0,NU,2,"['Illuminate', 'Natural Cure', 'Analytic']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,520,60,Mysterious Pokémon,85,1250000,1.1,60,Starmieスターミー,,121,100,85,115,water,psychic,80.0,1,0,"Hydro Pump, Ice Beam, Psyshock, Rapid Spin, Recover, Thunderbolt",,,water,psychic,illuminate,natural-cure,analytic
mr. mime,1.3,PU,RB,1,3,0,1,1,1,2,4,0,0,0,1,1,0,4,3,2,0,0,2,16,9,6,3,1,0,8,8,7,2,15,14,12,12,11,8,5,11,9,9,9,7,4,4,4,1,1,3,0,1,1,1,1,1,0,83.33333333,83.33333333,0,ZU,0,"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,45,6400,70,460,45,Barrier Pokémon,65,1000000,1.3,40,Barrierdバリヤード,50.0,122,100,120,90,psychic,fairy,54.5,1,0,"Dazzling Gleam, Healing Wish, Psychic, Trick",,,,,,,
scyther,1.5,PU,RB,1,4,1,1,2,1,2,3,0,1,0,0,3,2,4,3,0,1,0,0,13,8,4,2,0,0,8,8,3,1,2,2,2,2,2,2,1,3,3,3,3,2,1,1,1,1,1,1,0,1,1,0,0,0,0,54.54545455,54.54545455,0,PU,1,"['Swarm', 'Technician', 'Steadfast']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,110,6400,70,500,45,Mantis Pokémon,80,1000000,1.5,70,Strikeストライク,50.0,123,55,80,105,bug,flying,56.0,1,0,"Dual Wingbeat, Knock Off, Roost, Swords Dance, U-turn",0.07,Worlds_VGC_Usage_2024,bug,flying,swarm,technician,steadfast
jynx,1.4,PU,RB,1,6,0,2,0,0,2,-4,0,0,0,2,1,0,4,1,2,0,0,4,17,10,6,4,2,1,6,5,4,2,13,12,11,10,8,6,3,8,7,7,7,6,4,4,3,1,1,4,0,1,1,1,1,1,1,100.0,37.5,0,ZU,0,"['Oblivious', 'Forewarn', 'Dry Skin']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,50,6400,70,455,45,Humanshape Pokémon,35,1000000,1.4,65,Rougelaルージュラ,0.0,124,115,95,95,ice,psychic,40.6,1,0,"Focus Blast, Ice Beam, Lovely Kiss, Nasty Plot, Psychic, Psyshock, Trick",0.08565,Smogon_VGC_Usage_2022,ice,psychic,oblivious,forewarn,dry-skin
pinsir,1.5,PU,RB,1,3,0,3,0,0,1,0,2,0,0,0,0,2,4,1,0,0,0,0,23,17,11,10,4,4,7,7,7,3,1,1,1,1,1,1,0,3,3,3,2,2,2,2,2,1,1,0,0,1,1,1,1,0,0,76.92307692,76.92307692,0,ZU,0,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,155,6400,70,600,45,Stagbeetle Pokémon,120,1250000,1.5,65,Kailiosカイロス,50.0,127,65,90,105,bug,,55.0,1,0,"Earthquake, Knock Off, Stealth Rock, Stone Edge, Swords Dance, X-Scissor",,,bug,No_type,hyper-cutter,mold-breaker,moxie
tauros,1.4,RU,RB,3,1,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2,23,18,12,9,5,3,10,10,10,4,9,8,7,6,6,4,4,5,5,5,5,5,4,4,2,1,1,1,0,1,1,0,0,0,0,61.53846154,61.53846154,0,NU,2,"['Intimidate', 'Anger Point', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5120,70,490,45,Wild Bull Pokémon,95,1250000,1.4,75,Kentaurosケンタロス,100.0,128,40,70,110,normal,,88.4,1,0,"Body Slam, Close Combat, Iron Head, Throat Chop",0.00168,Smogon_VGC_Usage_2024,normal,No_type,intimidate,anger-point,sheer-force
gyarados,6.5,UU,RB,4,1,1,5,0,1,2,6,0,0,0,0,0,0,4,0,0,0,0,3,19,15,9,9,6,3,11,11,9,3,14,13,12,11,10,7,7,8,8,8,8,8,6,6,2,1,1,3,0,1,1,1,1,0,0,75.0,75.0,0,UU,4,"['Intimidate', 'Moxie']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,155,1280,70,640,45,Atrocious Pokémon,109,1250000,6.5,95,Gyaradosギャラドス,50.0,130,70,130,81,water,flying,235.0,1,0,"Bounce, Dragon Dance, Ice Fang, Power Whip, Waterfall",1.22696,Smogon_VGC_Usage_2023,water,flying,intimidate,No_ability,moxie
lapras,2.5,PU,RB,1,4,0,1,1,0,2,-1,0,0,0,1,0,0,4,2,0,0,0,2,14,12,7,6,5,0,9,9,8,3,14,12,11,10,8,6,5,7,7,7,7,6,5,5,3,1,1,1,0,1,1,0,0,0,0,53.84615385,53.84615385,0,ZU,0,"['Water Absorb', 'Shell Armor', 'Hydration']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,85,10240,70,535,45,Transport Pokémon,80,1250000,2.5,130,Laplaceラプラス,50.0,131,85,95,60,water,ice,220.0,1,0,"Freeze-Dry, Hydro Pump, Ice Beam, Rest, Sleep Talk, Surf, Thunderbolt",1.16696,Smogon_VGC_Usage_2022,water,ice,water-absorb,shell-armor,hydration
vaporeon,1.0,NU,RB,2,2,0,4,0,0,1,2,0,0,0,2,3,0,2,1,0,0,0,2,7,5,2,2,2,0,6,6,4,1,10,9,8,7,6,4,3,6,4,4,4,4,3,3,1,1,1,2,0,1,1,0,0,0,0,53.84615385,53.84615385,0,NU,2,"['Water Absorb', 'Hydration']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,8960,70,525,45,Bubble Jet Pokémon,60,1000000,1.0,130,Showersシャワーズ,88.1,134,110,95,65,water,,29.0,1,0,"Flip Turn, Heal Bell, Protect, Scald, Toxic, Wish",0.42939,Smogon_VGC_Usage_2023,water,No_type,water-absorb,No_ability,hydration
jolteon,0.8,PU,RB,1,1,0,3,0,0,1,2,0,0,0,2,3,0,3,1,0,0,0,2,7,5,2,1,0,0,7,6,4,1,7,7,6,6,5,3,1,5,3,3,3,3,2,2,2,1,1,3,0,1,1,1,0,0,0,66.66666667,66.66666667,0,PU,1,"['Volt Absorb', 'Quick Feet']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,8960,70,525,45,Lightning Pokémon,60,1000000,0.8,65,Thundersサンダース,88.1,135,110,95,130,electric,,24.5,1,0,"Heal Bell, Shadow Ball, Thunderbolt, Toxic, Volt Switch, Yawn",0.01735,Smogon_VGC_Usage_2022,electric,No_type,volt-absorb,No_ability,quick-feet
flareon,0.9,PU,RB,1,3,0,6,0,0,1,3,0,0,0,2,0,0,5,1,0,0,0,2,8,6,2,2,1,1,6,6,5,3,12,12,12,12,9,6,5,7,5,5,5,4,3,3,3,1,1,3,0,1,1,1,1,1,1,100.0,77.77777778,0,ZU,0,"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,130,8960,70,525,45,Flame Pokémon,60,1000000,0.9,65,Boosterブースター,88.1,136,95,110,65,fire,,25.0,1,0,"Facade, Flare Blitz, Lava Plume, Protect, Quick Attack, Superpower, Toxic, Wish",0.00235,Smogon_VGC_Usage_2023,fire,No_type,flash-fire,No_ability,guts
omastar,1.0,NU,RB,2,3,1,4,1,0,2,1,3,0,0,0,0,2,5,0,0,0,0,5,14,13,8,7,5,1,6,5,5,1,10,7,6,5,5,4,3,5,5,5,5,4,3,3,1,1,1,2,0,1,1,1,0,0,0,66.66666667,66.66666667,0,NU,2,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,60,7680,70,495,45,Spiral Pokémon,125,1000000,1.0,70,Omstarオムスター,88.1,139,115,70,55,rock,water,35.0,1,0,"Hydro Pump, Ice Beam, Meteor Beam, Shell Smash, Surf",0.00116,Smogon_VGC_Usage_2022,rock,water,swift-swim,shell-armor,weak-armor
aerodactyl,1.8,RU,RB,3,5,0,5,0,1,2,4,2,1,0,0,0,0,4,0,0,1,0,3,22,17,10,9,6,3,13,13,9,2,7,6,6,6,5,4,3,6,6,6,6,5,3,3,1,1,1,2,0,1,1,1,0,0,0,65.2173913,65.2173913,0,NU,2,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,135,8960,70,615,45,Fossil Pokémon,85,1250000,1.8,80,Pteraプテラ,88.1,142,70,95,150,rock,flying,59.0,1,0,"Crunch, Dual Wingbeat, Earthquake, Stone Edge",0.1,Worlds_VGC_Usage_2022,rock,flying,rock-head,pressure,unnerve
snorlax,2.1,RU,RB,3,1,0,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,2,33,27,21,15,7,1,14,13,13,5,14,13,12,11,10,8,6,10,9,9,9,9,7,7,4,1,1,2,0,1,1,1,1,1,0,85.71428571,85.71428571,0,RU,3,"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,10240,70,540,25,Sleeping Pokémon,65,1250000,2.1,160,Kabigonカビゴン,88.1,143,65,110,30,normal,,460.0,1,0,"Body Slam, Curse, Earthquake, Rest",1.07291,Smogon_VGC_Usage_2023,normal,No_type,immunity,thick-fat,gluttony
zapdos,1.6,OU,RB,5,2,0,5,0,1,2,7,0,1,0,0,3,0,3,0,0,1,0,3,5,5,3,3,1,1,5,5,3,2,6,5,5,5,5,3,2,8,7,6,6,5,3,3,2,1,1,3,0,1,1,1,0,0,0,65.2173913,65.2173913,0,OU,5,"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,20480,35,580,3,Electric Pokémon,85,1250000,1.6,90,Thunderサンダー,,145,125,90,100,electric,flying,52.6,1,1,"Defog, Discharge, Heat Wave, Hurricane, Roost, Thunder, Volt Switch, Weather Ball",11.40017,Smogon_VGC_Usage_2022,electric,flying,pressure,No_ability,static
moltres,2.0,OU,RB,5,2,1,4,2,1,2,8,0,1,0,0,3,0,3,0,0,1,0,3,5,5,3,3,2,2,5,5,3,3,11,10,10,10,8,6,5,7,7,6,6,4,3,3,2,1,1,3,0,1,1,1,0,0,0,66.66666667,66.66666667,0,UU,4,"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,20480,35,580,3,Flame Pokémon,90,1250000,2.0,90,Fireファイヤー,,146,125,85,90,fire,flying,60.0,1,1,"Defog, Flamethrower, Hurricane, Mystical Fire, Roost, Substitute, Toxic, U-turn",0.18912,Smogon_VGC_Usage_2023,fire,flying,pressure,No_ability,flame-body
dragonite,2.2,OU,RB,5,3,1,4,1,1,2,5,0,1,0,1,0,0,4,2,0,1,0,3,26,19,15,13,5,2,13,13,11,3,17,16,15,14,12,9,7,9,8,8,8,8,8,8,4,1,1,3,0,1,1,1,1,1,1,100.0,26.31578947,0,OU,5,"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,134,10240,35,600,45,Dragon Pokémon,95,1250000,2.2,91,Kairyuカイリュー,50.0,149,100,100,80,dragon,flying,210.0,1,0,"Defog, Dragon Dance, Dual Wingbeat, Earthquake, Extreme Speed, Heal Bell, Ice Beam, Roost",21.84,Worlds_VGC_Usage_2024,dragon,flying,inner-focus,No_ability,multiscale
mewtwo,2.0,Uber,RB,6,3,0,2,0,0,1,-1,0,0,0,0,1,0,4,0,2,1,0,3,26,18,12,7,4,2,13,13,12,2,22,20,17,16,14,11,7,12,11,11,11,9,7,7,4,1,1,3,1,1,1,1,0,0,0,65.2173913,65.2173913,0,Uber,6,"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,30720,0,780,3,Genetic Pokémon,70,1250000,2.0,106,Mewtwoミュウツー,,150,194,120,140,psychic,,122.0,1,1,"Fire Blast, Focus Blast, Ice Beam, Nasty Plot, Psystrike",0.10214,Smogon_VGC_Usage_2024,psychic,No_type,pressure,No_ability,unnerve
mew,0.4,Uber,RB,6,3,0,2,0,0,1,-1,3,1,0,1,3,2,4,2,2,1,0,3,80,68,52,39,25,10,18,18,18,10,48,45,42,40,33,24,16,18,18,18,18,18,9,9,6,1,1,3,0,1,0,0,0,0,0,27.27272727,27.27272727,0,UU,4,['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,30720,100,600,45,New Species Pokémon,100,1059860,0.4,100,Mewミュウ,,151,100,100,100,psychic,,4.0,1,1,"Body Press, Cosmic Power, Explosion, Flamethrower, Giga Drain, Ice Beam, Knock Off, Nasty Plot, Psychic, Psyshock, Rest, Soft-Boiled, Spikes, Stealth Rock, Stored Power, Taunt, Vacuum Wave, Will-O-Wisp",,,psychic,No_type,synchronize,No_ability,None 
togetic,0.6,PU,GS,1,5,0,2,2,2,2,9,0,1,0,2,0,0,4,0,2,1,0,1,13,8,4,3,1,0,7,6,5,3,15,14,13,13,10,8,6,12,11,10,10,6,4,4,3,1,1,3,0,1,1,1,1,0,0,75.0,75.0,0,ZU,0,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40,2560,70,405,75,Happiness Pokémon,85,800000,0.6,55,Togechickトゲチック,88.1,176,80,105,40,fairy,flying,3.2,2,0,"Dazzling Gleam, Defog, Flamethrower, Nasty Plot, Psyshock, Roost, Toxic",0.02331,Smogon_VGC_Usage_2022,fairy,flying,hustle,serene-grace,super-luck
bellossom,0.4,PU,GS,1,5,0,4,0,0,1,-1,0,0,0,0,0,0,5,0,2,2,0,5,6,6,4,3,2,1,3,3,3,1,7,7,6,6,5,4,4,5,4,4,4,4,2,2,2,1,1,4,0,1,1,0,0,0,0,63.63636364,63.63636364,0,ZU,0,"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,95,1059860,0.4,75,Kireihanaキレイハナ,50.0,182,90,100,50,grass,,5.8,2,0,"Giga Drain, Moonblast, Quiver Dance, Strength Sap",0.00233,Smogon_VGC_Usage_2024,grass,No_type,chlorophyll,No_ability,healer
azumarill,0.8,OU,GS,5,3,0,6,0,1,2,7,0,0,0,0,0,2,3,2,1,0,0,2,17,10,6,6,3,0,10,9,8,3,12,10,9,8,6,5,3,6,6,6,6,5,5,5,3,1,1,2,0,1,1,1,1,1,1,100.0,85.71428571,0,UU,4,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,50,2560,70,420,75,Aquarabbit Pokémon,80,800000,0.8,100,Marilliマリルリ,50.0,184,60,80,50,water,fairy,28.5,2,0,"Aqua Jet, Belly Drum, Ice Punch, Knock Off, Liquidation, Play Rough",1.82885,Smogon_VGC_Usage_2023,water,fairy,thick-fat,huge-power,sap-sipper
hitmontop,1.4,PU,GS,1,3,0,3,0,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,19,12,9,7,5,4,7,6,4,2,1,1,1,1,1,1,0,4,3,2,2,2,1,1,1,0,0,0,0,1,1,0,0,0,0,61.53846154,61.53846154,0,PU,1,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,100.0,237,35,110,70,fighting,,48.0,2,0,"Fake Out, Mach Punch, Rapid Spin, Stone Edge, Thief, Triple Axel",0.44831,Smogon_VGC_Usage_2022,fighting,No_type,intimidate,technician,steadfast
qwilfish,0.5,PU,GS,1,3,0,8,0,0,2,5,3,0,0,0,0,0,4,2,0,0,0,5,14,12,7,6,4,0,11,8,6,2,11,10,9,8,8,7,5,6,6,6,6,4,2,2,0,0,0,3,0,1,1,1,0,0,0,66.66666667,66.66666667,0,ZU,0,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,50.0,211,55,55,85,water,poison,3.9,2,0,"Aqua Jet, Destiny Bond, Poison Jab, Spikes, Swords Dance, Taunt, Thunder Wave, Waterfall",0.00243,Smogon_VGC_Usage_2022,water,poison,poison-point,swift-swim,intimidate
mantine,2.1,UU,GS,4,1,1,5,0,1,2,6,0,1,0,0,0,0,3,0,0,1,0,5,18,18,12,10,6,1,10,10,9,2,10,9,7,6,6,5,4,7,6,5,5,4,4,4,1,1,1,2,0,1,1,1,0,0,0,66.66666667,66.66666667,0,NU,2,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,50.0,226,80,140,70,water,flying,220.0,2,0,"Air Slash, Defog, Haze, Roost, Scald",0.04,Worlds_VGC_Usage_2022,water,flying,swift-swim,water-absorb,water-veil
raikou,1.9,UU,GS,4,1,0,3,0,0,1,2,0,0,0,0,3,0,3,2,0,0,0,2,11,9,6,4,2,0,6,6,5,1,7,7,7,6,6,5,2,8,7,7,7,6,2,2,2,1,1,3,0,1,1,1,0,0,0,65.2173913,65.2173913,0,RU,3,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,,243,115,100,115,electric,,178.0,2,1,"Aura Sphere, Calm Mind, Scald, Substitute, Thunderbolt, Toxic, Volt Switch",0.19,Worlds_VGC_Usage_2022,electric,No_type,pressure,No_ability,inner-focus
entei,2.1,UU,GS,4,3,0,6,0,0,1,3,0,0,0,0,0,0,3,2,0,0,0,2,13,10,5,4,4,2,7,7,6,2,9,9,9,8,7,5,4,6,6,6,6,4,2,2,2,2,2,3,1,1,1,1,0,0,0,65.2173913,65.2173913,0,RU,3,"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,,244,90,75,100,fire,,198.0,2,1,"Extreme Speed, Flare Blitz, Sacred Fire, Stone Edge, Toxic",12.61883,Smogon_VGC_Usage_2024,fire,No_type,pressure,No_ability,inner-focus
suicune,2.0,UU,GS,4,2,0,4,0,0,1,2,0,0,0,0,0,0,3,2,0,0,0,2,10,9,4,4,4,0,7,7,5,1,10,9,8,6,6,5,3,8,7,7,7,5,3,3,1,1,1,1,0,1,1,1,0,0,0,65.2173913,65.2173913,0,RU,3,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,,245,90,115,85,water,,187.0,2,1,"Calm Mind, Ice Beam, Protect, Rest, Roar, Scald, Sleep Talk, Substitute",1.45767,Smogon_VGC_Usage_2022,water,No_type,pressure,No_ability,inner-focus
